Date,Volume,Price
2013-12-09,29942.30064,949
2013-12-10,20474.12616,989.6
2013-12-11,30227.87166,965
2013-12-12,14233.78354,905.2
2013-12-13,12502.440312749999,920.42
2013-12-14,9018.637309,886
2013-12-15,9559.519589,869.98
2013-12-16,73269.17561,860.1
2013-12-17,35315.39533,750
2013-12-18,138526.5516,642.99
2013-12-19,54387.69973,700
2013-12-20,39074.16054,719.97
2013-12-21,17464.02821,635
2013-12-22,18662.45591,690
2013-12-23,12688.27557,668.8
2013-12-24,10049.65481,658
2013-12-25,12523.76974,718
2013-12-26,24916.3861,764.32
2013-12-27,15893.48785,743.99
2013-12-28,11839.08211,734.94
2013-12-29,8694.639996,739.99
2013-12-30,7030.31831,740
2013-12-31,8809.495986,757.99
2014-01-01,5586.931311,754.98
2014-01-02,16521.93656,798.7
2014-01-03,14446.87707,818.99
2014-01-04,12610.97696,841
2014-01-05,23698.5735,948
2014-01-06,24712.76632,995
2014-01-07,39877.71677,935.04
2014-01-08,21361.41633,849.79
2014-01-09,25421.98932,848
2014-01-10,12939.67985,878.8
2014-01-11,14807.13224,909.96
2014-01-12,13044.06486,887.79
2014-01-13,18610.60121,834.99
2014-01-14,9082.916072,837
2014-01-15,12159.95997,850.26
2014-01-16,10131.27397,848
2014-01-17,15590.04245,821
2014-01-18,5239.826529,817.12
2014-01-19,8955.658448,845
2014-01-20,6746.482996,841
2014-01-21,7040.346889,827.88
2014-01-22,8398.522035,824.99
2014-01-23,10115.2149,822.86
2014-01-24,14395.45167,797.24
2014-01-25,6888.638785,817
2014-01-26,10073.071,834
2014-01-27,28400.35833,822.49
2014-01-28,17339.09001,812.93
2014-01-29,6674.873625,804.95
2014-01-30,13462.15723,812.44
2014-01-31,6925.60854,809.98
2014-02-01,7969.902681,827.38
2014-02-02,4532.966771,825.21
2014-02-03,4810.194386,814
2014-02-04,7782.119788,812.98
2014-02-05,10878.40487,810
2014-02-06,25801.419,803
2014-02-07,61784.59898,749.99
2014-02-08,12117.57171,723
2014-02-09,15398.22976,755.42
2014-02-10,74792.2551,720
2014-02-11,37711.13113,715
2014-02-12,14747.10406,681.9
2014-02-13,46970.87574,660
2014-02-14,51879.60262,712.9
2014-02-15,17505.15749,673.01
2014-02-16,28342.04409,664.26
2014-02-17,18457.19754,664.99
2014-02-18,13995.02215,647.98
2014-02-19,11379.21112,636
2014-02-20,46283.95086,629.35
2014-02-21,18010.13784,589
2014-02-22,20109.31201,626.37
2014-02-23,35531.51467,646
2014-02-24,62600.18467,579.34
2014-02-25,99873.95189,572.1
2014-02-26,40329.86154,610
2014-02-27,15746.88255,599.99
2014-02-28,27006.07428,582.1
2014-03-01,7814.770014,576
2014-03-02,9589.7622,577.67
2014-03-03,69023.97726,710
2014-03-04,23169.97084,699.89
2014-03-05,11505.2593,678.34
2014-03-06,10032.00281,674
2014-03-07,21718.52194,664
2014-03-08,8518.625831,631.26
2014-03-09,10596.91524,653
2014-03-10,11727.24257,645
2014-03-11,13400.23712,656.95
2014-03-12,8565.172194,650
2014-03-13,6890.148825,650
2014-03-14,8766.532641,644
2014-03-15,1834.419462,639.88
2014-03-16,3279.289639,639.39
2014-03-17,9923.976079,634.5
2014-03-18,15771.32006,623.95
2014-03-19,7083.251595,620.52
2014-03-20,9852.646788,606.44
2014-03-21,22928.37362,607.88
2014-03-22,13277.35094,571.7
2014-03-23,7001.5169494599995,569.48
2014-03-24,13748.62696,592.6
2014-03-25,8414.185948,587.48
2014-03-26,11906.3098,592
2014-03-27,55714.76816,571.5
2014-03-28,25485.04353,525
2014-03-29,8872.344906,506.41
2014-03-30,32351.233839649998,489.87
2014-03-31,19524.26704,471.54
2014-04-01,22357.02173,509.98
2014-04-02,39578.77916,494.98
2014-04-03,22659.72386,465
2014-04-04,14888.2017,459.5
2014-04-05,5941.109311,465
2014-04-06,5750.31338,464.94
2014-04-07,7900.7604823599995,461.17
2014-04-08,5259.372195,459.8
