type,id,name,lat,lon,cuisine,brand
node,6355483814,Tim Hortons,43.7212494,-79.5117574,coffee_shop,Tim Hortons
node,6356497976,Chatime,43.725226,-79.4489565,bubble_tea,Chatime
node,6356497977,Starbucks,43.7252676,-79.4496982,coffee_shop,Starbucks
node,6357208064,Tim Hortons,43.709512,-79.506029,coffee_shop,Tim Hortons
node,6357274284,NUTTEA,43.6642676,-79.4146789,tea,NUTTEA
node,6357286286,Dessert Fox,43.6642992,-79.4145521,,
node,6357286293,The Alley,43.6643935,-79.4140777,,
node,6357395959,Coffee Pot Cafe,43.7071107,-79.5052245,,
node,6358218179,Jimmy's Coffee,43.646542,-79.406765,coffee_shop,
node,6358218806,Strange Love,43.647274,-79.4030207,coffee_shop,
node,6358218839,Tokyo Smoke,43.6466839,-79.4071318,coffee_shop,
node,6358218850,Sud Forno,43.6462928,-79.4090188,,
node,6358218863,Loftea,43.6459966,-79.4104775,tea,
node,6358826488,Crosstown Coffee Bar,43.7045093,-79.4070785,coffee_shop,
node,6359447133,CoCo Fresh Tea & Juice,43.6576054,-79.487698,bubble_tea,CoCo
node,6362826745,Neo Coffee Bar,43.6506783,-79.3691506,coffee_shop;japanese,
node,6362849592,Crestfallen,43.6640372,-79.4157186,,
node,6363681167,Shawl Cafe,43.6617597,-79.4261628,,
node,6365495219,Shirley's First Break,43.6634663,-79.3412849,coffee_shop,
node,6369142340,Bailey's Cafe,43.6515505,-79.4058725,coffee_shop,
node,6371265843,Hoang Viet,43.769471,-79.5218046,,
node,6371361179,Cafe Paradise,43.6609689,-79.430865,coffee_shop,
node,6371384058,Second Cup,43.6652646,-79.3810166,coffee_shop,Second Cup
node,6371398864,Absolute Bakery & Cafe,43.6675093,-79.369125,,
node,6373324120,Martin Coffee,43.657154,-79.4478518,,
node,6375000271,Lafayette Cafe,43.653187,-79.4676485,,
node,6375000281,Hannah's Cafe Bakery,43.6542533,-79.462785,,
node,6379071807,Found Coffee Bellwoods,43.6470857,-79.4169554,,
node,6382301631,AM Coffee Studio,43.6541175,-79.4520354,,
node,6384671279,The Merseyside,43.6583916,-79.4531706,,
node,6386832447,Hounslow's House,43.6739101,-79.4596979,,
node,6386975388,Wallace Espresso,43.6429078,-79.4084233,coffee_shop,
node,6386975395,The Coffee,43.6420014,-79.411428,coffee_shop,The Coffee
node,6386975400,Simit & Chai,43.6429719,-79.406643,,
node,6386975403,Shy Coffee Co.,43.6434843,-79.4055902,coffee_shop,
node,6389349785,Cafe Santa Rosa,43.6392636,-79.4428264,coffee_shop,
node,6402291799,Remarkable Bean,43.66193,-79.3356945,coffee_shop,
node,6402678254,Mini Bar,43.6471614,-79.3960161,coffee_shop;sandwich;sushi,
node,6414526660,D Spot Dessert Cafe,43.6232491,-79.5174377,,
node,6415434647,Dark Horse Espresso Bar,43.6483434,-79.3902949,,
node,6416423124,Zaza,43.6502414,-79.4817096,,
node,6416513571,Real Fruit Bubble Tea,43.6504307,-79.3879849,bubble_tea,Real Fruit Bubble Tea
node,6416544002,Starbucks,43.6504438,-79.387895,coffee_shop,Starbucks
node,6419764357,Starbucks,43.6480721,-79.3964151,coffee_shop,Starbucks
node,6422118764,Jimmy's Coffee,43.6187013,-79.4995995,,
node,6433351331,Tim Hortons,43.6493894,-79.3910359,coffee_shop,Tim Hortons
node,6434550073,Starbucks,43.6307521,-79.5556551,coffee_shop,Starbucks
node,6436145687,The Frantic Monkey,43.6546311,-79.4208749,,
node,6441699233,Sam James Coffee Bar,43.6503938,-79.376106,coffee_shop,
node,6482625780,Songtsen Cafe,43.6403944,-79.4382371,tibetan,
node,6483208772,Cutie Pie Cupcakes,43.6513676,-79.3970172,,
node,6491425297,Good Good Coffee Bar,43.6653498,-79.4654464,coffee_shop,
node,6493214401,Osprey,43.6390244,-79.4452675,coffee_shop,
node,6493338039,Grocery Coffee,43.640066,-79.4398672,,
node,6493349400,Tashi Delek Cafe,43.6402638,-79.4370457,,
node,6495425602,Larry's Place,43.6412963,-79.4337947,coffee_shop,
node,6532307631,Mos Mos,43.6576683,-79.3843196,coffee_shop,
node,6533155273,Bellwoods Coffee + Gelato,43.6504346,-79.415855,coffee_shop;ice_cream,
node,6533155282,Ohiru,43.6572404,-79.4046374,,
