,C0,C1,C2,C3,C4,C5,C6
953,RL1e5ZyVUkU,696347,29809,310,2173,False,False
954,Kj7GU8_kOg4,345957,11899,550,954,False,False
955,VQhIUzPJi8o,1003082,136927,1447,11628,False,False
956,Ovu9a6ntSPc,496160,37264,1034,6371,False,False
957,fN491KqvtP0,624054,3035,2860,1176,False,False
958,UCdMwyIy3ks,3103186,213063,4608,17132,False,False
959,V5cOvyDpWfM,18226395,46374,151442,56686,False,False
960,RdZz7XhyZC8,158013,2183,447,1689,False,False
961,HY4DHWZcxSI,3998051,5855,3258,545,False,False
962,hqEZMa54_x0,140142,5171,185,0,True,False
963,i_EOm9uRnSs,750593,20313,273,4578,False,False
964,0uJUW24505E,390126,33762,264,2777,False,False
965,pzHCd2X1GaM,1221416,7573,676,2444,False,False
966,lscQDAf4hjA,770325,4924,594,1066,False,False
967,yXa9xtIyphI,62365,1219,15,77,False,False
968,#NAME?,7946670,342936,5194,18995,False,False
969,QjNapuOHoT0,90299,1794,12,146,False,False
970,Rm7ChN0QUas,55985,1554,12,171,False,False
971,AL-JF7977eM,423571,2810,83,1049,False,False
972,C7xDzYnst34,1315891,59066,1278,10079,False,False
973,1lGHZ5NMHRY,259925,12871,1012,0,True,False
974,dc0Dh_1lxe0,578128,33633,374,1930,False,False
975,culGGGiey0U,88017,4271,173,587,False,False
976,PyVvsO_CGfw,504875,34084,217,3928,False,False
977,ub4AOyWEzPo,590268,12170,191,1730,False,False
978,2SIPYOBwJUo,402065,13251,368,3046,False,False
979,02vuSnVF8sU,901994,55444,1233,3559,False,False
980,m9zakT_UDY4,34014,2115,53,858,False,False
981,8z_cg5CypRc,4053326,113528,1243,8389,False,False
982,f6R4W4UKC7w,26037,289,71,188,False,False
983,dADEn7OYUO0,338394,12502,341,2236,False,False
984,X0ob2GwzRq4,682650,44135,296,7694,False,False
985,LForXq19MC8,334765,5346,1131,2276,False,False
986,OUQr8lG45AU,283192,8609,260,938,False,False
987,5krWuFgtqLs,164351,6078,73,611,False,False
